symbol,name,exchange,currency
FCR.UN.TO,First Capital Real Estate Investment Trust,Toronto Stock Exchange,
ERE.UN.TO,European Residential Real Estate Investment Trust,Toronto Stock Exchange,
HR.UN.TO,H&R Real Estate Investment Trust,Toronto Stock Exchange,
AD.UN.TO,Alaris Equity Partners Income Trust,Toronto Stock Exchange,
CHE.UN.TO,Chemtrade Logistics Income Fund,Toronto Stock Exchange,
REI.UN.TO,RioCan Real Estate Investment Trust,Toronto Stock Exchange,
CRR.UN.TO,Crombie Real Estate Investment Trust,Toronto Stock Exchange,
GRT.UN.TO,Granite Real Estate Investment Trust,Toronto Stock Exchange,
CRT.UN.TO,CT Real Estate Investment Trust,Toronto Stock Exchange,
AX.UN.TO,Artis Real Estate Investment Trust,Toronto Stock Exchange,
NWH.UN.TO,NorthWest Healthcare Properties Real Estate Investment Trust,Toronto Stock Exchange,
CSH.UN.TO,Chartwell Retirement Residences,Toronto Stock Exchange,
D.UN.TO,Dream Office Real Estate Investment Trust,Toronto Stock Exchange,
MI.UN.TO,Minto Apartment Real Estate Investment Trust,Toronto Stock Exchange,
AP.UN.TO,Allied Properties Real Estate Investment Trust,Toronto Stock Exchange,
DIR.UN.TO,Dream Industrial Real Estate Investment Trust,Toronto Stock Exchange,
CHP.UN.TO,Choice Properties Real Estate Investment Trust,Toronto Stock Exchange,
KMP.UN.TO,Killam Apartment REIT,Toronto Stock Exchange,
MRG.UN.TO,Morguard North American Residential Real Estate Investment Trust,Toronto Stock Exchange,
CAR.UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Toronto Stock Exchange,
BEI.UN.TO,Boardwalk Real Estate Investment Trust,Toronto Stock Exchange,
PRV.UN.TO,Pro Real Estate Investment Trust,Toronto Stock Exchange,
BIP.UN.TO,Brookfield Infrastructure Partners L.P.,Toronto Stock Exchange,
BBU.UN.TO,Brookfield Business Partners L.P.,Toronto Stock Exchange,
SGR.UN.TO,Slate Grocery REIT,Toronto Stock Exchange,
BEP.UN.TO,Brookfield Renewable Partners L.P.,Toronto Stock Exchange,
BTB.UN.TO,BTB Real Estate Investment Trust,Toronto Stock Exchange,
SRU.UN.TO,SmartCentres Real Estate Investment Trust,Toronto Stock Exchange,
IIP.UN.TO,InterRent Real Estate Investment Trust,Toronto Stock Exchange,
BPF.UN.TO,Boston Pizza Royalties Income Fund,Toronto Stock Exchange,
KEG.UN.TO,The Keg Royalties Income Fund,Toronto Stock Exchange,
HOM.UN.TO,BSR Real Estate Investment Trust,Toronto Stock Exchange,
DHT.UN.TO,DRI Healthcare Trust,Toronto Stock Exchange,
PMZ.UN.TO,Primaris Real Estate Investment Trust,Toronto Stock Exchange,
APR.UN.TO,Automotive Properties Real Estate Investment Trust,Toronto Stock Exchange,
EIT.UN.TO,Canoe EIT Income Fund,Toronto Stock Exchange,
NXR.UN.TO,Nexus Industrial REIT,Toronto Stock Exchange,
U.UN.TO,Sprott Physical Uranium Trust Fund,Toronto Stock Exchange,
FCD.UN.TO,Firm Capital Property Trust,Toronto Stock Exchange,
TNT.UN.TO,True North Commercial Real Estate Investment Trust,Toronto Stock Exchange,
COP.UN.TO,Sprott Physical Copper Trust,Toronto Stock Exchange,
QETH.UN.TO,The Ether Fund,Toronto Stock Exchange,
BGI.UN.TO,Brookfield Global Infrastructure Securities Income Fund,Toronto Stock Exchange,
SRV.UN.TO,SIR Royalty Income Fund,Toronto Stock Exchange,
RBN.UN.TO,Blue Ribbon Income Fund,Toronto Stock Exchange,
PLZ.UN.TO,Plaza Retail REIT,Toronto Stock Exchange,
NET.UN.V,Canadian Net Real Estate Investment Trust,Toronto Stock Exchange Ventures,
MPCT.UN.TO,Dream Impact Trust,Toronto Stock Exchange,
JFS.UN.TO,JFT Strategies Fund,Toronto Stock Exchange,
SSF.UN.TO,Symphony Floating Rate Senior Loan Fund,Toronto Stock Exchange,
